user,day,insider,deviation_score,drift_score,drift_label,anomaly_score,risk_score,projected_risk_7d,projected_risk_14d,will_breach_7d,will_breach_14d,days_to_breach,alert_level,primary_dim,intervention_level,intervention_name
ACM2278,3,0,0.5099279588387083,0.5099279588387083,STABLE,1.285625960118855,0.6428129800594276,0.6428129800594276,0.6428129800594276,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,4,0,0.3105166563031401,0.4102223075709242,STABLE,0.8173497697658972,0.4086748848829486,0.4086748848829486,0.4086748848829486,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,5,0,0.2861587621203122,0.3688677924207202,STABLE,0.7798640785453281,0.389932039272664,0.389932039272664,0.389932039272664,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,6,0,0.3119697005631643,0.3546432694563313,STABLE,0.8495353383826001,0.4247676691913,0.4247676691913,0.4247676691913,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,7,0,0.4525516659574289,0.3742249487565508,STABLE,1.3240367805462665,0.6620183902731331,0.6620183902731331,0.6620183902731331,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,10,0,0.3868030071433142,0.3763212918210114,STABLE,1.4511632431280417,0.7255816215640207,0.7255816215640207,0.7255816215640207,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,11,0,0.4048023445780127,0.3803900136434401,STABLE,1.0210302359020629,0.8160367228046516,0.8245386674020166,0.8330406119993817,False,False,4268.169772785116,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,12,0,0.471210777784654,0.3917426091610918,STABLE,1.2585396062723484,2.06538639965424,2.1091155353639905,2.152844671073742,False,False,629.8385448372514,WATCH,AUTONOMOUS,2,Passive Friction
ACM2278,13,0,0.4095652988915024,0.3937229080200263,STABLE,1.1081977948618986,1.3105143490492677,1.3482971068997978,1.3860798647503276,False,False,868.8195733757073,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,14,0,0.4125520849866014,0.3956058257166838,STABLE,1.314474584705065,1.33708495418409,1.3710431705680568,1.4050013869520237,False,False,961.1931601956124,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,17,0,0.4019644593793696,0.3961838833223826,STABLE,1.1207983825569356,1.05882935844886,1.0837258174930369,1.108622276537214,False,False,1389.2816817638077,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,18,0,0.298591112698837,0.3880511524370871,STABLE,0.7802329381400481,0.390116469070024,0.390116469070024,0.390116469070024,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,19,0,0.4254253498079239,0.3909260906963822,STABLE,0.9837228464619964,0.6845169640167961,0.689878112649545,0.6952392612822941,False,False,6940.374871271446,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,20,0,0.4107699846748906,0.3923435116948471,STABLE,0.9133806938995483,0.627833445856528,0.6349703385372865,0.6421072312180448,False,False,5269.123070939636,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,21,0,0.3181145195444063,0.3786425517452541,STABLE,0.6970510396678251,0.7895783406002232,0.8050126377294133,0.8204469348586034,False,False,2363.110630209328,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,24,0,0.8729835695118271,0.4188187598315888,STABLE,2.9490264801849526,4.066586718218389,4.145553654183221,4.224520590148053,False,False,171.38683180639757,ELEVATED,AUTONOMOUS,3,Warning Banner
ACM2278,25,0,0.5768503039218639,0.4395824413888425,STABLE,1.516289057857529,2.3453545308813326,2.424496286951185,2.503638043021038,False,False,323.24931305859366,WATCH,AUTONOMOUS,2,Passive Friction
ACM2278,26,0,0.4772341276001886,0.4513870433200585,STABLE,1.3783334496809323,1.9816156761352208,2.04617316984647,2.1107306635577188,False,False,435.7153391497306,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,27,0,0.3716749288888923,0.4456101335294488,STABLE,1.0356808118500822,1.668418025622099,1.725889082698269,1.7833601397744387,False,False,527.5885874251276,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,28,0,0.355769943179017,0.4433934861034276,STABLE,1.002507144331572,1.2255103505500156,1.2616867909185343,1.297863231287053,False,False,923.8451104004596,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,31,0,0.3572160347362565,0.4399944639718737,STABLE,1.0638987825646429,0.8356632041815618,0.8508336312584844,0.8660040583354071,False,False,2382.949233230312,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,32,0,0.2919854329349095,0.4271926536254633,STABLE,0.9425766910430248,0.4712883455215124,0.4712883455215124,0.4712883455215124,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,33,0,0.4166927043273827,0.4277017540137405,STABLE,1.2232630330568788,0.6116315165284394,0.6116315165284394,0.6116315165284394,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,34,0,0.3109004725012551,0.4204409245505014,STABLE,0.7715206317289138,0.3857603158644569,0.3857603158644569,0.3857603158644569,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,35,0,0.7168733630550624,0.4429344176701937,STABLE,2.927641682352428,1.896987035765827,1.9090410277891303,1.9210950198124332,False,False,2382.703646569066,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,38,0,0.2401479408549295,0.4387599053956289,STABLE,0.688824054412799,0.3444120272063995,0.3444120272063995,0.3444120272063995,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,39,0,0.3903263208938381,0.4362528319017656,STABLE,1.0153616400719057,0.5076808200359528,0.5076808200359528,0.5076808200359528,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,40,0,0.348447091962269,0.4318011967080069,STABLE,0.9293852899632092,0.4646926449816045,0.4646926449816045,0.4646926449816045,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
ACM2278,41,0,0.573848264908534,0.4500678928054447,STABLE,1.6272302910259329,0.8136151455129664,0.8136151455129664,0.8136151455129664,False,False,,NORMAL,AUTONOMOUS,1,Standard Monitoring
